Package	Version
acepack	1.4.1
ade4	1.7-13
ADGofTest	0.3
affy	1.62.0
affyio	1.54.0
ALL	1.26.0
annotate	1.62.0
AnnotationDbi	1.46.1
AnnotationFilter	1.8.0
ape	5.3
apeglm	1.6.0
askpass	1.1
assertthat	0.2.1
backports	1.1.5
base64enc	0.1-3
bbmle	1.0.20
beeswarm	0.2.3
BH	1.69.0-1
bibtex	0.4.2
Biobase	2.44.0
BiocGenerics	0.30.0
BiocManager	1.30.9
BiocParallel	1.18.1
BiocVersion	3.9.0
biomaRt	2.40.5
Biostrings	2.52.0
bit	1.1-14
bit64	0.9-7
bitops	1.0-6
blob	1.2.0
brew	1.0-6
broom	0.5.2
callr	3.3.2
caTools	1.17.1.2
cellranger	1.1.0
checkmate	1.9.4
circlize	0.4.8
cli	1.1.0
clipr	0.7.0
clisymbols	1.2.0
clue	0.3-57
clusterExperiment	2.4.4
coda	0.19-3
colorspace	1.4-1
commonmark	1.7
ComplexHeatmap	2.0.0
ConsensusClusterPlus	1.48.0
copula	0.999-19.1
covr	3.3.2
crayon	1.3.4
crosstalk	1.0.0
curl	4.2
cyclocomp	1.1.0
data.table	1.12.6
DBI	1.0.0
dbplyr	1.4.2
DelayedArray	0.10.0
desc	1.2.0
DESeq2	1.24.0
devtools	2.2.1
digest	0.6.22
docopt	0.6.1
doParallel	1.0.15
dplyr	0.8.3
DT	0.9
dtplyr	0.0.3
edgeR	3.26.8
ellipsis	0.3.0
emdbook	1.3.11
ensembldb	2.8.1
evaluate	0.14
fansi	0.4.0
fastmap	1.0.1
fdrtool	1.2.15
feather	0.3.5
foghorn	1.1.0
forcats	0.4.0
foreach	1.4.7
formatR	1.7
Formula	1.2-3
fs	1.3.1
futile.logger	1.4.3
futile.options	1.0.1
gargle	0.4.0
genefilter	1.66.0
geneplotter	1.62.0
generics	0.0.2
GenomeInfoDb	1.20.0
GenomeInfoDbData	1.2.1
GenomicAlignments	1.20.1
GenomicFeatures	1.36.4
GenomicRanges	1.36.1
GetoptLong	0.1.7
ggbeeswarm	0.6.0
ggplot2	3.2.1
ggrepel	0.8.1
gh	1.0.1
git2r	0.26.1
glmnet	2.0-18
GlobalOptions	0.1.1
glue	1.3.1
gmailr	1.0.0
gridBase	0.4-7
gridExtra	2.3
gsl	2.1-6
gtable	0.3.0
gtrellis	1.16.1
haven	2.1.1
HDF5Array	1.12.3
highlight	0.4.7.2
highr	0.8
Hmisc	4.2-0
hms	0.5.1
howmany	0.3-1
htmlTable	1.13.2
htmltools	0.4.0
htmlwidgets	1.5.1
httpuv	1.5.2
httr	1.4.1
hunspell	3.0
ini	0.3.1
IRanges	2.18.3
iterators	1.0.12
jsonlite	1.6
kernlab	0.9-27
knitr	1.25
labeling	0.3
Lahman	7.0-1
lambda.r	1.2.4
later	1.0.0
latticeExtra	0.6-28
lazyeval	0.2.2
lifecycle	0.1.0
limma	3.40.6
lintr	2.0.0
littler	0.3.8
locfdr	1.1-8
locfit	1.5-9.1
lubridate	1.7.4
magrittr	1.5
markdown	1.1
matrixStats	0.55.0
memoise	1.1.0
microbenchmark	1.4-7
mime	0.7
mockery	0.4.2
modelr	0.1.5
munsell	0.5.0
mvtnorm	1.0-11
NMF	0.21.0
numDeriv	2016.8-1.1
nycflights13	1.0.1
openssl	1.4.1
parsedate	1.2.0
pcaPP	1.9-73
pheatmap	1.0.12
phylobase	0.8.6
pillar	1.4.2
pingr	2.0.0
pkgbuild	1.0.6
pkgconfig	2.0.3
pkgdown	1.4.1
pkgload	1.0.2
pkgmaker	0.27
plogr	0.2.0
plyr	1.8.4
plyranges	1.4.4
png	0.1-7
pracma	2.2.5
praise	1.0.0
preprocessCore	1.46.0
prettyunits	1.0.2
processx	3.4.1
progress	1.2.2
promises	1.1.0
ProtGenerics	1.16.0
ps	1.3.0
pspline	1.0-18
purrr	0.3.3
qvalue	2.16.0
R6	2.4.0
rappdirs	0.3.1
rcmdcheck	1.3.3
RColorBrewer	1.1-2
Rcpp	1.0.2
RcppArmadillo	0.9.800.1.0
RcppEigen	0.3.3.5.0
RcppNumerical	0.3-3
RCurl	1.95-4.12
readr	1.3.1
readxl	1.3.1
registry	0.5-1
rematch	1.0.1
rematch2	2.1.0
remotes	2.1.0
reprex	0.3.0
reshape2	1.4.3
rex	1.1.2
rhdf5	2.28.1
Rhdf5lib	1.6.3
Rhtslib	1.16.3
rhub	1.1.1
rjson	0.2.20
rlang	0.4.1
rmarkdown	1.16
RMySQL	0.10.17
rncl	0.8.3
RNeXML	2.3.0
rngtools	1.4
roxygen2	6.1.1
RPostgreSQL	0.6-2
rprojroot	1.3-2
Rsamtools	2.0.3
RSpectra	0.15-0
RSQLite	2.1.2
rstudioapi	0.10
rtracklayer	1.44.4
rversions	2.0.0
rvest	0.3.4
S4Vectors	0.22.1
scales	1.0.0
selectr	0.4-1
sessioninfo	1.1.1
shape	1.4.4
shiny	1.4.0
SingleCellExperiment	1.6.0
snow	0.4-3
softImpute	1.4
sourcetools	0.1.7
spelling	2.1
stabledist	0.7-1
stringdist	0.9.5.5
stringi	1.4.3
stringr	1.4.0
SummarizedExperiment	1.14.1
sys	3.3
testit	0.10
testthat	2.2.1
tibble	2.1.3
tidyr	1.0.0
tidyselect	0.2.5
tidyverse	1.2.1
tinytex	0.16
tximport	1.12.3
usethis	1.5.1
utf8	1.1.4
uuid	0.1-2
vctrs	0.2.0
vipor	0.4.5
viridis	0.5.1
viridisLite	0.3.0
vsn	3.52.0
whisker	0.4
whoami	1.3.0
withr	2.1.2
xfun	0.10
XML	3.98-1.20
xml2	1.2.2
xmlparsedata	1.0.3
xopen	1.0.0
xtable	1.8-4
XVector	0.24.0
yaml	2.2.0
zeallot	0.1.0
zinbwave	1.6.0
zlibbioc	1.30.0
base	3.6.1
boot	1.3-22
class	7.3-15
cluster	2.1.0
codetools	0.2-16
compiler	3.6.1
datasets	3.6.1
foreign	0.8-71
graphics	3.6.1
grDevices	3.6.1
grid	3.6.1
KernSmooth	2.23-15
lattice	0.20-38
MASS	7.3-51.4
Matrix	1.2-17
methods	3.6.1
mgcv	1.8-28
nlme	3.1-140
nnet	7.3-12
parallel	3.6.1
rpart	4.1-15
spatial	7.3-11
splines	3.6.1
stats	3.6.1
stats4	3.6.1
survival	2.44-1.1
tcltk	3.6.1
tools	3.6.1
utils	3.6.1
